id,date,name
1,2023-01-01,Новий рік
2,2023-01-07,Різдво Христове за Юліанським календарем
3,2023-01-22,День Соборності України
4,2023-03-08,Міжнародний жіночий день
5,2023-04-16,Великдень
6,2023-05-01,День праці
7,2023-05-09,День перемоги над нацизмом у Другій світовій війні
8,2023-06-04,Трійця
9,2023-06-28,День Конституції України
10,2023-07-28,День Української Державності
11,2023-08-23,День Державного Прапора України
12,2023-08-24,День Незалежності України
13,2023-10-14,День захисників і захисниць України
14,2023-12-06,День Збройних Сил України
15,2023-12-25,Різдво Христове за Григоріанським календарем
